Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
IC0341,Neb,03:40:55.69,+21:57:36.7,Tau,134.9,,,,,,,IC,0341,IC 341,IC 341,,341,,,,,,,,,,,,,,,,,,large_dso
IC0342,G,03:46:48.50,+68:05:46.9,Cam,19.77,18.79,,,,,,IC,0342,IC 342,IC 342,,342,Caldwell,C 005,C 5,C 5,I342,Sp,,9.2,03:46:48,68.1,18.0,17.0,342,IC 342,,,True,large_dso
IC0349,RfN,03:46:20.11,+23:56:23.3,Tau,25.7,,,,,,Barnard's Merope Nebula,IC,0349,IC 349,IC 349,,349,,,,,,,,,,,,,,,,,,large_dso
IC0353,Neb,03:53:01.07,+25:50:52.8,Tau,181.97,30.2,,,,,,IC,0353,IC 353,IC 353,,353,IC,IC  353,IC 353,IC 353,I 353,Nb,,,03:55:00,25.48,180.0,180.0, 353,IC 353,,,True,large_dso
IC0354,Neb,03:53:57.91,+23:08:49.2,Tau,128.82,,,,,,,IC,0354,IC 354,IC 354,,354,,,,,,,,,,,,,,,,,,large_dso
IC0359A,RfN,04:18:41.00,+28:17:24.0,Tau,15.0,10.0,,,,,,IC,0359A,IC 359A,IC 359A,,359,,,,,,,,,,,,,,,,,,large_dso
IC0360,Neb,04:09:02.57,+26:07:52.3,Tau,180.0,100.0,,,,,,IC,0360,IC 360,IC 360,,360,IC,IC  360,IC 360,IC 360,I 360,Nb,,,04:13:00,25.63,180.0,180.0, 360,IC 360,,,True,large_dso
IC0405,Neb,05:16:29.48,+34:21:22.2,Aur,50.0,30.0,,,,,Flaming Star Nebula,IC,0405,IC 405,IC 405,,405,Caldwell,C 031,C 31,C 31,I405,Bn,Flaming Star Nebula,6,05:16:12,34.27,30.0,19.0,405,IC 405,,,True,large_dso
IC0405,Neb,05:16:29.48,+34:21:22.2,Aur,50.0,30.0,,,,,Flaming Star Nebula,IC,0405,IC 405,IC 405,,405,IC,IC  405,IC 405,IC 405 = C 31,I 405,Nb,Flaming Star nebula,,05:16:12,34.27,30.0,30.0, 405,IC 405,,,True,large_dso
IC0410,Neb,05:22:42.00,+33:22:00.0,Aur,40.0,30.0,,,,,,IC,0410,IC 410,IC 410,,410,IC,IC  410,IC 410,IC 410,I 410,C+N,,,05:22:36,33.52,40.0,40.0, 410,IC 410,,,True,large_dso
IC0434,HII,05:41:00.88,-02:27:13.6,Ori,90.0,30.0,,,,,"Flame Nebula,Orion B",IC,0434,IC 434,IC 434,,434,IC,IC  434,IC 434,IC 434,I 434,Nb,Horsehead nebula,,05:41:00,-1.6,60.0,60.0, 434,IC 434,,,True,large_dso
IC0443,SNR,06:16:37.41,+22:31:54.0,Gem,50.0,40.0,,,,,Gem A,IC,0443,IC 443,IC 443,,443,IC,IC  443,IC 443,IC 443,I 443,Nb,,,06:16:54,22.78,50.0,50.0, 443,IC 443,,,True,large_dso
IC0447,HII,06:31:00.32,+09:53:50.8,Mon,25.0,20.0,,,,2169,,IC,0447,IC 447,IC 447,,447,IC,IC 2169,IC 447,IC 2169,I0447,Nb,,,06:31:12,9.9,25.0,25.0,0447,IC 0447,,,True,large_dso
IC0448,HII,06:32:45.34,+07:23:19.1,Mon,15.0,10.0,,,,,,IC,0448,IC 448,IC 448,,448,,,,,,,,,,,,,,,,,,large_dso
IC0468,Other,07:17:19.00,-13:13:07.3,CMa,,,,,,,,IC,0468,IC 468,IC 468,,468,IC,IC  468,IC 468,IC 468,I 468,Nb,,,07:17:30,-12.85,20.0,20.0, 468,IC 468,,,True,large_dso
IC1274,HII,18:09:51.03,-23:38:53.6,Sgr,20.0,5.0,,,,,,IC,1274,IC 1274,IC 1274,,1274,,,,,,,,,,,,,,,,,,large_dso
IC1283,HII,18:17:16.85,-19:45:44.0,Sgr,15.0,15.0,,,,,,IC,1283,IC 1283,IC 1283,,1283,,,,,,,,,,,,,,,,,,large_dso
IC1284,Neb,18:17:39.63,-19:40:19.3,Sgr,16.98,15.14,,,,,,IC,1284,IC 1284,IC 1284,,1284,,,,,,,,,,,,,,,,,,large_dso
IC1287,RfN,18:31:25.69,-10:47:44.9,Sct,20.0,10.0,,,,,,IC,1287,IC 1287,IC 1287,,1287,IC,IC 1287,IC 1287,IC 1287,I1287,Nb,,,18:31:18,-9.17,44.0,44.0,1287,IC 1287,,,True,large_dso
IC1310,Cl+N,20:10:00.98,+34:58:08.0,Cyg,15.0,3.0,,,,,,IC,1310,IC 1310,IC 1310,,1310,,,,,,,,,,,,,,,,,,large_dso
IC1340,SNR,20:56:08.25,+31:02:52.3,Cyg,25.12,19.95,,,,,,IC,1340,IC 1340,IC 1340,,1340,IC,IC 1340,IC 1340,,I1340,Nb,,,20:56:12,31.07,25.0,25.0,1340,IC 1340,,,True,large_dso
IC1396,Cl+N,21:38:57.62,+57:29:20.6,Cep,14.0,4.0,,,,,,IC,1396,IC 1396,IC 1396,,1396,IC,IC 1396,IC 1396,IC 1396,I1396,C+N,,3,21:39:06,57.5,170.0,170.0,1396,IC 1396,,,True,large_dso
IC1613,G,01:04:47.79,+02:07:04.0,Cet,18.32,17.14,9.54,,,,,IC,1613,IC 1613,IC 1613,,1613,,,,,,,,,,,,,,,,,,large_dso
IC1795,HII,02:26:31.96,+62:02:29.9,Cas,12.0,12.0,,,,,,IC,1795,IC 1795,IC 1795,,1795,IC,IC 1795,IC 1795,IC 1795,I1795,Nb,,,02:26:30,62.07,20.0,20.0,1795,IC 1795,,,True,large_dso
IC1805,Cl+N,02:32:41.51,+61:27:24.8,Cas,60.0,60.0,6.5,,,,,IC,1805,IC 1805,IC 1805,,1805,IC,IC 1805,IC 1805,IC 1805,I1805,C+N,,6,02:32:42,61.45,60.0,60.0,1805,IC 1805,,,True,large_dso
IC1831,Neb,02:43:56.40,+62:24:41.9,Cas,120.23,,,,,,,IC,1831,IC 1831,IC 1831,,1831,,,,,,,,,,,,,,,,,,large_dso
IC1848,Cl+N,02:51:10.59,+60:24:08.9,Cas,40.0,10.0,6.5,,,,,IC,1848,IC 1848,IC 1848,,1848,IC,IC 1848,IC 1848,IC 1848,I1848,C+N,,6,02:51:12,60.43,60.0,60.0,1848,IC 1848,,,True,large_dso
IC2177,RfN,07:04:36.91,-10:28:15.8,Mon,20.0,20.0,,,,,,IC,2177,IC 2177,IC 2177,,2177,IC,IC 2177,IC 2177,IC 2177,I2177,Nb,,,07:05:06,-9.3,120.0,120.0,2177,IC 2177,,,True,large_dso
IC2391,OCl,08:40:31.88,-53:02:07.7,Vel,29.1,,2.5,,,,omi Vel Cluster,IC,2391,IC 2391,IC 2391,,2391,Caldwell,C 085,C 85,C 85,I2391,Oc,Omicron Vel Cluster,2.5,08:40:12,-53.07,50.0,50.0,2391,IC 2391,,,True,large_dso
IC2391,OCl,08:40:31.88,-53:02:07.7,Vel,29.1,,2.5,,,,omi Vel Cluster,IC,2391,IC 2391,IC 2391,,2391,IC,IC 2391,IC 2391,IC 2391 = C 85,I2391,OC,,2,08:40:12,-52.93,50.0,50.0,2391,IC 2391,,,True,large_dso
IC2599,HII,10:37:27.09,-58:44:00.2,Car,20.0,20.0,,,,,,IC,2599,IC 2599,IC 2599,,2599,,,,,,,,,,,,,,,,,,large_dso
IC2602,OCl,10:42:57.47,-64:23:39.1,Car,48.0,,,,,,tet Car Cluster,IC,2602,IC 2602,IC 2602,,2602,Caldwell,C 102,C 102,C 102,I2602,Oc,Theta Car Cluster,1.9,10:43:12,-64.4,50.0,50.0,2602,IC 2602,,,True,large_dso
IC2602,OCl,10:42:57.47,-64:23:39.1,Car,48.0,,,,,,tet Car Cluster,IC,2602,IC 2602,IC 2602,,2602,IC,IC 2602,IC 2602,IC 2602  = C 102,I2602,OC,Southern Pleiades,1,10:43:12,-63.6,50.0,50.0,2602,IC 2602,,,True,large_dso
IC2872,Neb,11:28:08.03,-62:59:20.2,Cen,15.14,6.03,,,,,,IC,2872,IC 2872,IC 2872,,2872,,,,,,,,,,,,,,,,,,large_dso
IC2944,Cl+N,11:35:46.93,-63:01:11.4,Cen,7.2,,,,,,lam Cen Nebula,IC,2944,IC 2944,IC 2944,,2944,IC,IC 2944,IC 2944,IC 2944 = C 100,I2944,C+N,lambda Cen nebula,4,11:36:36,-62.97,75.0,75.0,2944,IC 2944,,,True,large_dso
IC2948,Cl+N,11:39:05.94,-63:26:37.9,Cen,6.0,,,,,,,IC,2948,IC 2948,IC 2948,,2948,IC,IC 2948,IC 2948,IC 2948,I2948,Nb,lambda Cen nebula,,11:38:48,-62.47,60.0,60.0,2948,IC 2948,,,True,large_dso
IC4592,RfN,16:11:58.67,-19:27:16.8,Sco,60.0,40.0,,,,,,IC,4592,IC 4592,IC 4592,,4592,IC,IC 4592,IC 4592,IC 4592,I4592,Nb,,,16:12:00,-18.53,150.0,150.0,4592,IC 4592,,,True,large_dso
IC4601,Neb,16:20:17.80,-20:05:14.3,Sco,20.0,10.0,,,,,,IC,4601,IC 4601,IC 4601,,4601,IC,IC 4601,IC 4601,IC 4601,I4601,Nb,,,16:20:00,-19.97,20.0,20.0,4601,IC 4601,,,True,large_dso
IC4603,Neb,16:25:24.48,-24:28:06.1,Oph,20.0,5.0,,,,,,IC,4603,IC 4603,IC 4603,,4603,IC,IC 4603,IC 4603,IC 4603,I4603,Nb,,,16:25:36,-23.53,20.0,20.0,4603,IC 4603,,,True,large_dso
IC4604,Neb,16:25:31.17,-23:26:11.7,Oph,60.0,25.0,,,,,rho Oph Nebula,IC,4604,IC 4604,IC 4604,,4604,IC,IC 4604,IC 4604,IC 4604,I4604,Nb,rho Oph nebula,,16:25:36,-22.57,60.0,60.0,4604,IC 4604,,,True,large_dso
IC4605,Neb,16:30:12.48,-25:06:54.6,Sco,30.0,15.0,,,,,,IC,4605,IC 4605,IC 4605,,4605,IC,IC 4605,IC 4605,IC 4605,I4605,Nb,,,16:30:12,-24.9,30.0,30.0,4605,IC 4605,,,True,large_dso
IC4628,Neb,16:56:58.43,-40:27:03.5,Sco,89.13,58.88,,,,,,IC,4628,IC 4628,IC 4628,,4628,IC,IC 4628,IC 4628,IC 4628,I4628,Nb,,,16:57:00,-39.67,90.0,90.0,4628,IC 4628,,,True,large_dso
IC4665,OCl,17:46:27.18,+05:38:55.4,Oph,24.6,,4.2,,,,,IC,4665,IC 4665,IC 4665,,4665,IC,IC 4665,IC 4665,IC 4665,I4665,OC,,4,17:46:18,5.72,41.0,41.0,4665,IC 4665,,,True,large_dso
IC4685,Neb,18:09:17.50,-23:59:14.1,Sgr,15.0,10.0,,,,,,IC,4685,IC 4685,IC 4685,,4685,,,,,,,,,,,,,,,,,,large_dso
IC4701,Neb,18:16:35.74,-16:38:53.8,Sgr,60.0,40.0,,,,,,IC,4701,IC 4701,IC 4701,,4701,IC,IC 4701,IC 4701,IC 4701,I4701,Nb,,,18:16:30,-15.27,60.0,60.0,4701,IC 4701,,,True,large_dso
IC4715,*Ass,18:16:56.12,-18:30:52.4,Sgr,120.0,60.0,4.5,24,,,Small Sgr Star Cloud,M,4715,M 24,IC 4715,,24,IC,IC 4715,IC 4715,IC 4715 = M 24,I4715,C+N,,,18:26:12,-17.57,30.0,30.0,4715,IC 4715,,,True,large_dso
IC4715,*Ass,18:16:56.12,-18:30:52.4,Sgr,120.0,60.0,4.5,24,,,Small Sgr Star Cloud,M,4715,M 24,IC 4715,,24,Messier,M 024,M 24,M 24,,MW,Sagittarius Star Cloud,4.6,18:06:54,-18.5,90.0,90.0,,,,,True,large_dso
IC4725,OCl,18:31:46.77,-19:06:53.8,Sgr,14.1,,4.6,25,,,,M,4725,M 25,IC 4725,,25,IC,IC 4725,IC 4725,IC 4725 = M 25,I4725,OC,M  25,4,18:31:36,-18.75,32.0,32.0,4725,IC 4725,,,True,large_dso
IC4725,OCl,18:31:46.77,-19:06:53.8,Sgr,14.1,,4.6,25,,,,M,4725,M 25,IC 4725,,25,Messier,M 025,M 25,M 25,IC4725,Oc,,6.5,18:01:36,-19.25,40.0,40.0,C4725,IC C4725,,,True,large_dso
IC4756,OCl,18:38:51.51,+05:27:43.8,Se2,24.0,,4.6,,,,,IC,4756,IC 4756,IC 4756,,4756,IC,IC 4756,IC 4756,IC 4756,I4756,OC,,5,18:39:00,5.45,52.0,52.0,4756,IC 4756,,,True,large_dso
IC4954,HII,20:04:45.02,+29:15:10.1,Vul,3.0,1.0,,,,,,IC,4954,IC 4954,IC 4954,,4954,IC,IC 4954,IC 4954,IC 4954,I4954,Nb,,,20:04:48,29.25,25.0,25.0,4954,IC 4954,,,True,large_dso
IC5068,HII,20:50:29.76,+42:28:39.7,Cyg,40.0,30.0,,,,,,IC,5068,IC 5068,IC 5068,,5068,IC,IC 5068,IC 5068,IC 5068,I5068,Nb,,,20:50:48,42.52,80.0,80.0,5068,IC 5068,,,True,large_dso
IC5070,HII,20:51:00.72,+44:24:05.4,Cyg,60.0,50.0,,,,,Pelican Nebula,IC,5070,IC 5070,IC 5070,,5070,IC,IC 5070,IC 5070,IC 5070,I5070,Nb,Pelican nebula,,20:50:48,44.35,80.0,80.0,5070,IC 5070,,,True,large_dso
NGC0055,G,00:14:53.60,-39:11:47.9,Scl,29.85,3.05,8.54,,,,,NGC,0055,NGC 55,,,55,Caldwell,C 072,C 72,C 72,55,Sb,,8.2,00:14:54,-39.18,32.0,6.0,,,55,NGC 55,True,large_dso
NGC0104,GCl,00:24:05.36,-72:04:53.2,Tuc,31.8,,4.09,,,,47 Tuc Cluster,NGC,0104,NGC 104,,,104,Caldwell,C 106,C 106,C 106,104,Gc,47 Tucanae,4,00:24:06,-72.08,31.0,31.0,,,104,NGC 104,True,large_dso
NGC0129,OCl,00:29:58.19,+60:12:40.2,Cas,5.4,,6.5,,,,,NGC,0129,NGC 129,,,129,NGC,NGC 129,NGC 129,NGC 129,129,OC,,6,00:29:54,60.23,21.0,21.0,,,129,NGC 129,True,large_dso
NGC0188,OCl,00:47:27.53,+85:16:10.7,Cep,17.7,,8.1,,,,,NGC,0188,NGC 188,,,188,,,,,,,,,,,,,,,,,,large_dso
NGC0205,G,00:40:22.08,+41:41:07.1,And,16.22,9.59,8.15,110,,,,M,0205,M 110,,,110,,,,,,,,,,,,,,,,,,large_dso
NGC0224,G,00:42:44.35,+41:16:08.6,And,177.83,69.66,3.44,31,,,Andromeda Galaxy,M,0224,M 31,,,31,Messier,M 031,M 31,M 31,224,Sp,Andromeda Galaxy,3.4,00:01:48,41.27,178.0,63.0,,,224,NGC 224,True,large_dso
NGC0247,G,00:47:08.55,-20:45:37.4,Cet,19.68,5.55,9.21,,,,,NGC,0247,NGC 247,,,247,Caldwell,C 062,C 62,C 62,247,Sp,,8.9,00:47:06,-20.77,20.0,7.0,,,247,NGC 247,True,large_dso
NGC0281,HII,00:52:59.35,+56:37:18.8,Cas,35.0,30.0,,,,0011,,NGC,0281,NGC 281,,,281,NGC,NGC 281,NGC 281,NGC 281,281,C+N,,7,00:52:48,56.62,35.0,35.0,,,281,NGC 281,True,large_dso
NGC0292,G,00:52:44.78,-72:49:43.0,Tuc,299.92,179.89,2.3,,,,Small Magellanic Cloud,NGC,0292,NGC 292,,,292,,,,,,,,,,,,,,,,,,large_dso
NGC0300,G,00:54:53.48,-37:41:03.8,Scl,19.41,13.06,8.66,,,,,NGC,0300,NGC 300,,,300,Caldwell,C 070,C 70,C 70,300,Sp,,8.1,00:54:54,-37.68,20.0,13.0,,,300,NGC 300,True,large_dso
NGC0598,G,01:33:50.89,+30:39:36.8,Tri,62.09,36.73,5.79,33,,,"Triangulum Galaxy,Triangulum Pinwheel",M,0598,M 33,,,33,Messier,M 033,M 33,M 33,598,Sp,Triangulum Galaxy,5.7,01:03:54,30.65,73.0,45.0,,,598,NGC 598,True,large_dso
NGC0752,OCl,01:57:34.82,+37:50:00.2,And,39.0,,5.7,,,,,NGC,0752,NGC 752,,,752,Caldwell,C 028,C 28,C 28,752,Oc,,5.7,01:57:48,37.68,50.0,50.0,,,752,NGC 752,True,large_dso
NGC0869,OCl,02:18:58.56,+57:07:02.1,Per,14.4,,3.7,,,,h Persei Cluster,NGC,0869,NGC 869,,,869,NGC,NGC 869,NGC 869,NGC 869 = C 14,869,OC,Double cluster,4,02:19:00,57.15,30.0,30.0,,,869,NGC 869,True,large_dso
NGC0884,OCl,02:22:32.10,+57:08:38.8,Per,10.5,,3.8,,,,chi Persei Cluster,NGC,0884,NGC 884,,,884,NGC,NGC 884,NGC 884,NGC 884 / C 14,884,OC,Double cluster,4,02:22:24,57.12,30.0,30.0,,,884,NGC 884,True,large_dso
NGC0896,Neb,02:25:27.82,+62:01:09.7,Cas,10.0,10.0,,,,,,NGC,0896,NGC 896,,,896,NGC,NGC 896,NGC 896,NGC 896,896,Nb,,,02:24:48,61.9,27.0,27.0,,,896,NGC 896,True,large_dso
NGC1027,OCl,02:42:35.06,+61:35:39.7,Cas,7.8,,6.7,,,1824,,NGC,1027,NGC 1027,,,1027,NGC,NGC 1027,NGC 1027,NGC 1027,1027,OC,,6,02:42:42,61.55,20.0,20.0,,,1027,NGC 1027,True,large_dso
NGC1039,OCl,02:42:07.40,+42:44:46.1,Per,22.5,,5.2,34,,,,M,1039,M 34,,,34,Messier,M 034,M 34,M 34,1039,Oc,,5.5,02:02:00,42.78,35.0,35.0,,,1039,NGC 1039,True,large_dso
NGC1333,Cl+N,03:28:55.2,+31:22:12,Per,19.5,,,,,,,NGC,1333,NGC 1333,,,1333,,,,,,,,,,,,,,,,,,large_dso
NGC1432,HII,03:45:49.59,+24:22:04.3,Tau,60.0,40.0,,,,,Maia Nebula,NGC,1432,NGC 1432,,,1432,NGC,NGC 1432,NGC 1432,NGC 1432,1432,Nb,Maia nebula,,03:45:48,24.37,30.0,30.0,,,1432,NGC 1432,True,large_dso
NGC1435,Neb,03:46:10.09,+23:45:53.9,Tau,30.0,30.0,,,,,Merope Nebula,NGC,1435,NGC 1435,,,1435,NGC,NGC 1435,NGC 1435,NGC 1435,1435,Nb,Merope nebula,,03:46:06,23.78,30.0,30.0,,,1435,NGC 1435,True,large_dso
NGC1499,Neb,04:03:14.42,+36:22:02.9,Per,160.0,40.0,,,,,California Nebula,NGC,1499,NGC 1499,,,1499,NGC,NGC 1499,NGC 1499,NGC 1499,1499,Nb,California nebula,,04:00:42,36.62,145.0,145.0,,,1499,NGC 1499,True,large_dso
NGC1502,OCl,04:07:49.30,+62:19:53.5,Cam,10.2,,6.9,,,,,NGC,1502,NGC 1502,,,1502,NGC,NGC 1502,NGC 1502,NGC 1502,1502,Oc,Jolly Roger Cluster,6,04:07:49,62.33,20.0,20.0,,,1502,NGC 1502,True,large_dso
NGC1528,OCl,04:15:18.87,+51:12:41.3,Per,9.6,,6.4,,,,,NGC,1528,NGC 1528,,,1528,NGC,NGC 1528,NGC 1528,NGC 1528,1528,OC,,6,04:15:24,51.23,24.0,24.0,,,1528,NGC 1528,True,large_dso
