Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
NGC6152,OCl,16:32:45.62,-52:38:38.4,Nor,6.6,,8.1,,,,,NGC,6152,NGC 6152,,,6152,NGC,NGC 6152,NGC 6152,NGC 6152,6152,OC,,8,16:32:42,-51.38,30.0,30.0,,,6152,NGC 6152,True,large_dso
NGC6188,Neb,16:40:05.84,-48:39:44.2,Ara,20.0,12.0,,,,,Rim Nebula,NGC,6188,NGC 6188,,,6188,NGC,NGC 6188,NGC 6188,NGC 6188,6188,Nb,,,16:40:30,-47.22,20.0,20.0,,,6188,NGC 6188,True,large_dso
NGC6205,GCl,16:41:41.63,+36:27:40.7,Her,16.5,,5.8,13,,,Hercules Globular Cluster,M,6205,M 13,,,13,Messier,M 013,M 13,M 13,6205,Gc,Great Hercules Globular,5.8,16:01:42,36.47,16.6,16.6,,,6205,NGC 6205,True,large_dso
NGC6281,OCl,17:04:41.30,-37:59:06.8,Sco,10.2,,5.4,,,,,NGC,6281,NGC 6281,,,6281,NGC,NGC 6281,NGC 6281,NGC 6281,6281,C+N,,5,17:04:48,-36.1,60.0,60.0,,,6281,NGC 6281,True,large_dso
NGC6334,SNR,17:20:49.70,-36:06:09.8,Sco,8.4,,,,,,,NGC,6334,NGC 6334,,,6334,NGC,NGC 6334,NGC 6334,NGC 6334,6334,Nb,,,17:20:30,-34.28,40.0,40.0,,,6334,NGC 6334,True,large_dso
NGC6357,Cl+N,17:24:43.57,-34:12:04.8,Sco,3.9,,,,,,the War and Peace Nebula,NGC,6357,NGC 6357,,,6357,NGC,NGC 6357,NGC 6357,NGC 6357,6357,Nb,,,17:24:36,-33.83,50.0,50.0,,,6357,NGC 6357,True,large_dso
NGC6374,OCl,17:34:42.54,-32:34:52.9,Sco,6.9,,5.5,,6383,,,NGC,6374,NGC 6374,,,6374,NGC,NGC 6383,NGC 6374,NGC 6383,6374,C+N,,5,17:34:48,-31.43,80.0,80.0,,,6374,NGC 6374,True,large_dso
NGC6397,GCl,17:40:41.36,-53:40:25.3,Ara,15.3,,5.17,,,,,NGC,6397,NGC 6397,,,6397,Caldwell,C 086,C 86,C 86,6397,Gc,,5.6,17:40:42,-53.67,26.0,26.0,,,6397,NGC 6397,True,large_dso
NGC6405,OCl,17:40:20.75,-32:15:15.0,Sco,15.6,,4.2,6,,,Butterfly Cluster,M,6405,M 6,,,6,Messier,M 006,M 6,M 6,6405,Oc,Butterfly Cluster,4.2,17:00:06,-32.22,25.0,25.0,,,6405,NGC 6405,True,large_dso
NGC6416,OCl,17:44:19.99,-32:21:39.6,Sco,6.9,,,,,,,NGC,6416,NGC 6416,,,6416,NGC,NGC 6416,NGC 6416,NGC 6416,6416,OC,,5,17:44:24,-31.65,18.0,18.0,,,6416,NGC 6416,True,large_dso
NGC6475,OCl,17:53:51.18,-34:47:34.2,Sco,22.2,,3.3,7,,,Ptolemy's Cluster,M,6475,M 7,,,7,Messier,M 007,M 7,M 7,6475,Oc,Ptolemy's Cluster,3.3,17:03:54,-34.82,80.0,80.0,,,6475,NGC 6475,True,large_dso
NGC6494,OCl,17:57:04.77,-18:59:07.2,Sgr,16.8,,5.5,23,,,,M,6494,M 23,,,23,Messier,M 023,M 23,M 23,6494,Oc,,6.9,17:06:48,-19.02,27.0,27.0,,,6494,NGC 6494,True,large_dso
NGC6514,Neb,18:02:42.11,-22:58:18.8,Sgr,28.0,28.0,8.5,20,,,Trifid Nebula,M,6514,M 20,,,20,Messier,M 020,M 20,M 20,6514,Di,Trifid Nebula,9,18:02:36,-23.03,28.0,28.0,,,6514,NGC 6514,True,large_dso
NGC6523,Neb,18:03:41.27,-24:22:48.6,Sgr,45.0,30.0,5.8,8,6533,,Lagoon Nebula,M,6523,M 8,,,8,Messier,M 008,M 8,M 8,6523,Di,Lagoon Nebula,6,18:03:48,-24.38,90.0,40.0,,,6523,NGC 6523,True,large_dso
NGC6526,Neb,18:04:06.15,-24:26:30.8,Sgr,40.0,40.0,,,,,,NGC,6526,NGC 6526,,,6526,NGC,NGC 6526,NGC 6526,NGC 6526,6526,Nb,,,18:02:36,-22.42,40.0,40.0,,,6526,NGC 6526,True,large_dso
NGC6559,Neb,18:09:56.85,-24:06:23.0,Sgr,15.0,10.0,,,,,,NGC,6559,NGC 6559,,,6559,,,,,,,,,,,,,,,,,,large_dso
NGC6604,OCl,18:18:02.96,-12:14:35.2,Se2,9.6,,6.5,,,,,NGC,6604,NGC 6604,,,6604,NGC,NGC 6604,NGC 6604,NGC 6604,6604,C+N,,6,18:18:06,-11.77,60.0,60.0,,,6604,NGC 6604,True,large_dso
NGC6611,Neb,18:18:48.17,-13:48:26.0,Se2,120.0,25.0,6.0,16,,,Eagle Nebula,M,6611,M 16,,,16,NGC,NGC 6611,NGC 6611,NGC 6611 = M 16,6611,C+N,Eagle nebula,6,18:18:48,-12.22,35.0,35.0,,,6611,NGC 6611,True,large_dso
NGC6618,Neb,18:20:47.11,-16:10:17.5,Sgr,12.6,,7.0,17,,,"Checkmark Nebula,Lobster Nebula,Swan Nebula,omega Nebula",M,6618,M 17,,,17,NGC,NGC 6618,NGC 6618,NGC 6618 = M 17,6618,C+N,M  17,6,18:20:48,-15.82,46.0,46.0,,,6618,NGC 6618,True,large_dso
NGC6633,OCl,18:27:15.23,+06:30:29.6,Oph,12.0,,4.6,,,,,NGC,6633,NGC 6633,,,6633,NGC,NGC 6633,NGC 6633,NGC 6633,6633,OC,,4,18:27:42,6.57,27.0,27.0,,,6633,NGC 6633,True,large_dso
NGC6656,GCl,18:36:24.20,-23:54:12.3,Sgr,12.6,,6.17,22,,,,M,6656,M 22,,,22,Messier,M 022,M 22,M 22,6656,Gc,Sagittarius Cluster,5.1,18:06:24,-23.9,24.0,24.0,,,6656,NGC 6656,True,large_dso
NGC6727,RfN,19:01:42.27,-36:52:34.5,CrA,80.0,80.0,,,,,,NGC,6727,NGC 6727,,,6727,,,,,,,,,,,,,,,,,,large_dso
NGC6729,Neb,19:01:55.40,-36:57:27.5,CrA,25.0,20.0,,,,,,NGC,6729,NGC 6729,,,6729,,,,,,,,,,,,,,,,,,large_dso
NGC6744,G,19:09:46.10,-63:51:27.1,Pav,15.67,9.75,9.25,,,,,NGC,6744,NGC 6744,,,6744,,,,,,,,,,,,,,,,,,large_dso
NGC6752,GCl,19:10:51.78,-59:58:54.7,Pav,13.2,,6.28,,6777,,,NGC,6752,NGC 6752,,,6752,Caldwell,C 093,C 93,C 93,6752,Gc,,5.4,19:10:54,-59.98,20.0,20.0,,,6752,NGC 6752,True,large_dso
NGC6774,OCl,19:16:16.30,-16:15:38.5,Sgr,30.0,,,,,,,NGC,6774,NGC 6774,,,6774,,,,,,,,,,,,,,,,,,large_dso
NGC6809,GCl,19:39:59.40,-30:57:43.5,Sgr,12.0,,6.49,55,,,,M,6809,M 55,,,55,Messier,M 055,M 55,M 55,6809,Gc,,6.3,19:00:00,-30.97,19.0,19.0,,,6809,NGC 6809,True,large_dso
NGC6820,Neb,19:42:28.02,+23:05:17.1,Vul,0.5,0.5,,,,,,NGC,6820,NGC 6820,,,6820,NGC,NGC 6820,NGC 6820,NGC 6820,6820,Nb,,,19:43:06,23.28,40.0,40.0,,,6820,NGC 6820,True,large_dso
NGC6871,OCl,20:05:59.44,+35:46:38.1,Cyg,9.3,,5.2,,,,,NGC,6871,NGC 6871,,,6871,NGC,NGC 6871,NGC 6871,NGC 6871,6871,OC,,5,20:05:54,35.78,20.0,20.0,,,6871,NGC 6871,True,large_dso
NGC6888,HII,20:12:06.55,+38:21:17.8,Cyg,20.0,10.0,,,,,Crescent Nebula,NGC,6888,NGC 6888,,,6888,Caldwell,C 027,C 27,C 27,6888,Bn,Crescent Nebula,7.5,20:12:00,38.35,20.0,10.0,,,6888,NGC 6888,True,large_dso
NGC6940,OCl,20:34:26.69,+28:16:57.8,Vul,10.8,,6.3,,,,,NGC,6940,NGC 6940,,,6940,NGC,NGC 6940,NGC 6940,NGC 6940,6940,OC,,6,20:34:36,28.3,31.0,31.0,,,6940,NGC 6940,True,large_dso
NGC6960,SNR,20:45:58.18,+30:35:42.5,Cyg,210.0,160.0,,,,,"Veil Nebula,Filamentary Nebula,Western Veil",NGC,6960,NGC 6960,,,6960,Caldwell,C 034,C 34,C 34,6960,Sn,West Veil Nebula,-,20:45:42,30.72,70.0,6.0,,,6960,NGC 6960,True,large_dso
NGC6960,SNR,20:45:58.18,+30:35:42.5,Cyg,210.0,160.0,,,,,"Veil Nebula,Filamentary Nebula,Western Veil",NGC,6960,NGC 6960,,,6960,NGC,NGC 6960,NGC 6960,NGC 6960 = C 34,6960,Nb,Filamentary nebula,,20:45:42,30.72,70.0,70.0,,,6960,NGC 6960,True,large_dso
NGC6991,OCl,20:54:52.00,+47:27:42.0,Cyg,23.0,,,,,,,NGC,6991,NGC 6991,,,6991,,,,,,,,,,,,,,,,,,large_dso
NGC6992,SNR,20:56:19.07,+31:44:33.9,Cyg,60.0,8.0,,,,,"Eastern Veil,Network Nebula",NGC,6992,NGC 6992,,,6992,Caldwell,C 033,C 33,C 33,6992,Sn,East Veil Nebula,-,20:56:24,31.72,60.0,8.0,,,6992,NGC 6992,True,large_dso
NGC6992,SNR,20:56:19.07,+31:44:33.9,Cyg,60.0,8.0,,,,,"Eastern Veil,Network Nebula",NGC,6992,NGC 6992,,,6992,NGC,NGC 6992,NGC 6992,NGC 6992 = C 33,6992,Nb,Network nebula,,20:56:24,31.72,60.0,60.0,,,6992,NGC 6992,True,large_dso
NGC7000,HII,20:59:17.14,+44:31:43.6,Cyg,120.0,30.0,,,,,North America Nebula,NGC,7000,NGC 7000,,,7000,Caldwell,C 020,C 20,C 20,7000,Bn,North America Nebula,6,20:58:48,44.33,120.0,100.0,,,7000,NGC 7000,True,large_dso
NGC7023,Neb,21:01:35.62,+68:10:10.4,Cep,10.0,8.0,,,,,Iris Nebula,NGC,7023,NGC 7023,,,7023,Caldwell,C 004,C 4,C 4,7023,Bn,Iris Nebula,6.8,21:01:48,68.2,18.0,18.0,,,7023,NGC 7023,True,large_dso
NGC7039,OCl,21:10:47.80,+45:37:18.5,Cyg,7.8,,7.6,,,,,NGC,7039,NGC 7039,,,7039,NGC,NGC 7039,NGC 7039,NGC 7039,7039,OC,,7,21:11:12,45.65,25.0,25.0,,,7039,NGC 7039,True,large_dso
NGC7082,OCl,21:29:17.74,+47:07:34.6,Cyg,9.0,,7.2,,,,,NGC,7082,NGC 7082,,,7082,NGC,NGC 7082,NGC 7082,NGC 7082,7082,OC,,7,21:29:24,47.08,25.0,25.0,,,7082,NGC 7082,True,large_dso
NGC7092,OCl,21:31:48.32,+48:26:17.4,Cyg,19.5,,4.6,39,,,,M,7092,M 39,,,39,Messier,M 039,M 39,M 39,7092,Oc,,4.6,21:02:12,48.43,32.0,32.0,,,7092,NGC 7092,True,large_dso
NGC7209,OCl,22:05:07.84,+46:29:00.7,Lac,6.0,,7.7,,,,,NGC,7209,NGC 7209,,,7209,NGC,NGC 7209,NGC 7209,NGC 7209,7209,OC,,6,22:05:12,46.5,25.0,25.0,,,7209,NGC 7209,True,large_dso
NGC7243,OCl,22:15:08.58,+49:53:51.0,Lac,15.0,,6.4,,,,,NGC,7243,NGC 7243,,,7243,Caldwell,C 016,C 16,C 16,7243,Oc,,6.4,22:15:18,49.88,21.0,21.0,,,7243,NGC 7243,True,large_dso
NGC7293,PN,22:29:38.57,-20:50:14.4,Aqr,16.33,,7.3,,,,Helix Nebula,NGC,7293,NGC 7293,,,7293,,,,,,,,,,,,,,,,,,large_dso
NGC7380,Cl+N,22:47:21.01,+58:07:56.7,Cep,25.0,20.0,7.2,,,,,NGC,7380,NGC 7380,,,7380,NGC,NGC 7380,NGC 7380,NGC 7380,7380,C+N,,7,22:47:00,58.1,25.0,25.0,,,7380,NGC 7380,True,large_dso
NGC7635,HII,23:20:45.60,+61:12:44.5,Cas,15.0,8.0,,,,,Bubble Nebula,NGC,7635,NGC 7635,,,7635,,,,,,,,,,,,,,,,,,large_dso
NGC7822,HII,00:03:35.35,+67:09:41.9,Cep,20.0,4.0,,,,,,NGC,7822,NGC 7822,,,7822,NGC,NGC 7822,NGC 7822,NGC 7822,7822,Nb,,,00:03:36,68.62,60.0,60.0,,,7822,NGC 7822,True,large_dso
C009,HII,22:57:54.0,+62:31:06,Cep,50.0,30.0,,,,,Cave Nebula,C,009,C 9,,,9,Caldwell,C 009,C 9,C 9,,Bn,Cave Nebula,7.7,22:56:48,62.62,50.0,10.0,,,,,True,large_dso
C014,*Ass,02:20:42.0,+57:08:15,Per,50.0,50.0,,,,,"Double Cluster, h & chi Persei",C,014,C 14,,,14,Caldwell,C 014,C 14,C 14,,Oc,"Double Cluster, h & chi Persei",4.3,02:20:00,57.13,30.0,30.0,,,,,True,large_dso
C041,OCl,04:26:54.0,+15:52:00,Tau,329.0,,,,,,Hyades,C,041,C 41,,,41,Caldwell,C 041,C 41,C 41,,Oc,Hyades,1,04:27:00,16.0,330.0,330.0,,,,,True,large_dso
C099,DrkN,12:31:19.0,-63:44:36,Cru,,,,,,,Coalsack Nebula,C,099,C 99,,,99,Caldwell,C 099,C 99,C 99,,Dn,Coalsack Nebula,-,12:53:00,-63.0,400.0,300.0,,,,,True,large_dso
Cl399,*Ass,19:25:24.0,+20:11:00,Vul,70.0,,3.6,,,,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",Cl,399,Cl 399,,,399,,,,,,,,,,,,,,,,,,large_dso
ESO056-115,G,05:23:34.5,-69:45:22,Dor,646.0,550.0,0.29,,,,"Large Magellanic Cloud,Nubecula Major",ESO,056,ESO 56,,,56,,,,,,,,,,,,,,,,,,large_dso
ESO351-030,G,01:00:09.35,-33:42:32.5,Scl,15.26,15.26,8.6,,,,Sculptor Dwarf Elliptical,ESO,351,ESO 351,,,351,,,,,,,,,,,,,,,,,,large_dso
Mel022,OCl,03:47:28.6,+24:06:19,Tau,150.0,150.0,1.2,45,,,Pleiades,M,022,M 45,,,45,Messier,M 045,M 45,M 45,,Oc,Pleiades,1.6,03:07:00,24.12,110.0,110.0,,,,,True,large_dso
Mel111,OCl,12:25:06.0,+26:06:00,Com,253.5,,,,,,Coma Star Cluster,Mel,111,Mel 111,,,111,,,,,,,,,,,,,,,,,,large_dso
,,,,,,,,,,,,,,NTH CS,,,,-,NTH CS,NTH CS,,,Dn,Northern Coalsack,,21:40:00,41.0,300.0,300.0,,,,,True,large_dso
IC4703,Neb,18:18:56.22,-13:50:43.4,Se2,5.05,5.05,6.0,,,,"Eagle Nebula,Star Queen",IC,4703,IC 4703,IC 4703,,4703,,,,,,,,,,,,,,,,,,small_dso
IC5146,Cl+N,21:53:28.76,+47:16:00.9,Cyg,10.0,10.0,7.2,,,,Cocoon Nebula,IC,5146,IC 5146,IC 5146,,5146,,,,,,,,,,,,,,,,,,small_dso
NGC0457,OCl,01:19:32.65,+58:17:26.5,Cas,7.8,,6.4,,,,Owl Cluster,NGC,0457,NGC 457,,,457,,,,,,,,,,,,,,,,,,small_dso
NGC1316,G,03:22:41.72,-37:12:29.6,For,13.46,7.71,8.48,,,,Fornax A,NGC,1316,NGC 1316,,,1316,,,,,,,,,,,,,,,,,,small_dso
NGC1952,SNR,05:34:31.97,+22:00:52.1,Tau,8.0,4.0,8.4,1,,,Crab Nebula,M,1952,M 1,,,1,,,,,,,,,,,,,,,,,,small_dso
NGC1980,Cl+N,05:35:25.99,-05:54:35.6,Ori,9.3,,2.5,,,,Lower Sword,NGC,1980,NGC 1980,,,1980,,,,,,,,,,,,,,,,,,small_dso
NGC2301,OCl,06:51:45.30,+00:27:33.1,Mon,10.8,,6.0,,,,Great Bird Cluster,NGC,2301,NGC 2301,,,2301,,,,,,,,,,,,,,,,,,small_dso
NGC2360,OCl,07:17:43.12,-15:38:28.7,CMa,9.0,,7.2,,,,Caroline's Cluster,NGC,2360,NGC 2360,,,2360,,,,,,,,,,,,,,,,,,small_dso
NGC3034,G,09:55:52.73,+69:40:45.8,UMa,10.99,5.11,8.3,82,,,Cigar Galaxy,M,3034,M 82,,,82,,,,,,,,,,,,,,,,,,small_dso
NGC3115,G,10:05:13.98,-07:43:06.9,Sex,7.1,3.01,9.09,,,,Spindle Galaxy,NGC,3115,NGC 3115,,,3115,,,,,,,,,,,,,,,,,,small_dso
NGC3587,PN,11:14:47.71,+55:01:08.5,UMa,3.58,,9.9,97,,,Owl Nebula,M,3587,M 97,,,97,,,,,,,,,,,,,,,,,,small_dso
NGC3623,G,11:18:55.92,+13:05:32.5,Leo,7.64,1.97,9.32,65,,,Leo Triplet,M,3623,M 65,,,65,,,,,,,,,,,,,,,,,,small_dso
NGC3766,OCl,11:36:14.39,-61:36:18.6,Cen,6.9,,5.3,,,,Pearl Cluster,NGC,3766,NGC 3766,,,3766,,,,,,,,,,,,,,,,,,small_dso
NGC4254,G,12:18:49.60,+14:24:59.4,Com,5.04,4.74,9.84,99,,,"Coma Pinwheel,Virgo Cluster Pinwheel",M,4254,M 99,,,99,,,,,,,,,,,,,,,,,,small_dso
NGC4486,G,12:30:49.42,+12:23:28.0,Vir,7.11,6.67,9.0,87,,,Virgo Galaxy,M,4486,M 87,,,87,,,,,,,,,,,,,,,,,,small_dso
NGC4594,G,12:39:59.43,-11:37:23.0,Vir,8.45,4.91,8.59,104,,,Sombrero Galaxy,M,4594,M 104,,,104,,,,,,,,,,,,,,,,,,small_dso
NGC4609,OCl,12:42:16.83,-62:59:44.7,Cru,5.4,,6.9,,,,Coalsack Cluster,NGC,4609,NGC 4609,,,4609,,,,,,,,,,,,,,,,,,small_dso
NGC4631,G,12:42:08.01,+32:32:29.4,CVn,14.45,2.2,9.24,,,,Whale Galaxy,NGC,4631,NGC 4631,,,4631,,,,,,,,,,,,,,,,,,small_dso
NGC4826,G,12:56:43.64,+21:40:58.7,Com,10.52,5.33,8.52,64,,,"Black Eye Galaxy,Evil Eye Galaxy",M,4826,M 64,,,64,,,,,,,,,,,,,,,,,,small_dso
NGC5055,G,13:15:49.33,+42:01:45.4,CVn,11.83,7.16,8.61,63,,,Sunflower Galaxy,M,5055,M 63,,,63,,,,,,,,,,,,,,,,,,small_dso
NGC5194,G,13:29:52.71,+47:11:42.6,CVn,13.71,11.67,8.36,51,,,Whirlpool Galaxy,M,5194,M 51,,,51,,,,,,,,,,,,,,,,,,small_dso
NGC5236,G,13:37:00.95,-29:51:55.5,Hya,13.61,13.21,7.21,83,,,Southern Pinwheel Galaxy,M,5236,M 83,,,83,,,,,,,,,,,,,,,,,,small_dso
NGC6087,OCl,16:18:50.58,-57:56:04.5,Nor,10.2,,5.4,,,,S Nor Cluster,NGC,6087,NGC 6087,,,6087,,,,,,,,,,,,,,,,,,small_dso
NGC6705,OCl,18:51:05.99,-06:16:12.1,Sct,9.0,,5.8,11,,,"Amas de l'Ecu de Sobieski,Wild Duck Cluster",M,6705,M 11,,,11,,,,,,,,,,,,,,,,,,small_dso
NGC6720,PN,18:53:35.01,+33:01:42.9,Lyr,1.27,,8.8,57,,,Ring Nebula,M,6720,M 57,,,57,,,,,,,,,,,,,,,,,,small_dso
NGC6819,OCl,19:41:18.09,+40:11:12.3,Cyg,6.9,,7.3,,,,Foxhead Cluster,NGC,6819,NGC 6819,,,6819,,,,,,,,,,,,,,,,,,small_dso
NGC6853,PN,19:59:36.38,+22:43:15.7,Vul,6.7,,7.4,27,,,Dumbbell Nebula,M,6853,M 27,,,27,,,,,,,,,,,,,,,,,,small_dso
NGC6946,G,20:34:52.32,+60:09:14.1,Cyg,11.4,10.84,9.05,,,,Fireworks Galaxy,NGC,6946,NGC 6946,,,6946,,,,,,,,,,,,,,,,,,small_dso
ESO356-004,G,02:39:59.33,-34:26:57.1,For,12.88,10.47,7.4,,,,Fornax Dwarf Spheroidal,ESO,356,ESO 356,,,356,,,,,,,,,,,,,,,,,,small_dso
